Symbol,Sector
CYIENT,IT
DABUR,FMCG
DALBHARAT,Infrastructure
DATAPATTNS,Infrastructure
DCMSHRIRAM,Other
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DEVYANI,Services
DIVISLAB,Pharma
DIXON,Consumer
DLF,Realty
DMART,Services
DOMS,FMCG
DRREDDY,Pharma
ECLERX,Services
EICHERMOT,Automobile
EIDPARRY,FMCG
EIHOTEL,Services
ELECON,Infrastructure
ELGIEQUIP,Infrastructure
EMAMILTD,FMCG
EMCURE,Pharma
EMMVEE,Infrastructure
ENDURANCE,Automobile
ENGINERSIN,Infrastructure
ENRIN,Infrastructure
ERIS,Pharma
ESCORTS,Infrastructure
ETERNAL,Services
EXIDEIND,Automobile
FACT,Chemicals
FEDERALBNK,Financial Services
FINCABLES,Infrastructure
FIRSTCRY,Services
FIVESTAR,Financial Services
FLUOROCHEM,Chemicals
FORCEMOT,Automobile
FORTIS,Pharma
FSL,Services
GABRIEL,Automobile
GAIL,Energy
GALLANTT,Infrastructure
GESHIP,Services
GICRE,Financial Services
GILLETTE,FMCG
GLAND,Pharma
GLAXO,Pharma
GLENMARK,Pharma
GMDCLTD,Metals
GMRAIRPORT,Services
GODFRYPHLP,FMCG
GODIGIT,Financial Services
GODREJCP,FMCG
GODREJIND,Other
GODREJPROP,Realty
GPIL,Infrastructure
GRANULES,Pharma
GRAPHITE,Infrastructure
GRASIM,Infrastructure
GRAVITA,Metals
GROWW,Financial Services
GRSE,Infrastructure
GVT&D,Infrastructure
HAL,Defence
HAVELLS,Consumer
HBLENGINE,Infrastructure
HCLTECH,IT
HDBFS,Financial Services
HDFCAMC,Financial Services
HDFCBANK,Banking
HDFCLIFE,Financial Services
HEG,Infrastructure
HEROMOTOCO,Automobile
HEXT,IT
HFCL,Telecom
HINDALCO,Metals
HINDCOPPER,Metals
HINDPETRO,Energy
HINDUNILVR,FMCG
HINDZINC,Metals
HOMEFIRST,Financial Services
HONASA,FMCG
HONAUT,Infrastructure
HSCL,Chemicals
HUDCO,Financial Services
HYUNDAI,Automobile
ICICIAMC,Financial Services
ICICIBANK,Banking
ICICIGI,Financial Services
ICICIPRULI,Financial Services
IDBI,Financial Services
IDEA,Telecom
IDFCFIRSTB,Financial Services
IEX,Financial Services
IFCI,Financial Services
IGIL,Services
IGL,Energy
IIFL,Financial Services
IKS,IT
INDGN,Pharma
INDHOTEL,Services
INDIACEM,Infrastructure
INDIAMART,Services
INDIANB,Financial Services
INDIGO,Services
INDUSINDBK,Banking
INDUSTOWER,Telecom
INFY,IT
INOXWIND,Infrastructure
INTELLECT,IT
IOB,Financial Services
IOC,Energy
IPCALAB,Pharma
IRB,Infrastructure
IRCON,Infrastructure
IRCTC,Services
IREDA,Financial Services
IRFC,Financial Services
ITC,FMCG
ITCHOTELS,Services
ITI,Telecom
J&KBANK,Financial Services
JAINREC,Metals
JBMA,Automobile
JINDALSAW,Infrastructure
JINDALSTEL,Metals
JIOFIN,Financial Services
JKCEMENT,Infrastructure
JKTYRE,Automobile
JMFINANCIL,Financial Services
JPPOWER,Utilities
JSL,Metals
JSWCEMENT,Infrastructure
JSWDULUX,Consumer
JSWENERGY,Utilities
JSWINFRA,Services
JSWSTEEL,Metals
JUBLFOOD,Services
JUBLINGREA,Chemicals
JUBLPHARMA,Pharma
JWL,Infrastructure
JYOTICNC,Infrastructure
KAJARIACER,Consumer
KALYANKJIL,Consumer
KARURVYSYA,Financial Services
KAYNES,Infrastructure
KEC,Infrastructure
KEI,Infrastructure
KFINTECH,Financial Services
KIMS,Pharma
KIRLOSENG,Infrastructure
KOTAKBANK,Banking
KPIL,Infrastructure
KPITTECH,IT
KPRMILL,Consumer
LALPATHLAB,Pharma
LATENTVIEW,IT
LAURUSLABS,Pharma
LEMONTREE,Services
LENSKART,Services
LGEINDIA,Consumer
LICHSGFIN,Financial Services
LICI,Financial Services
LINDEINDIA,Chemicals
LLOYDSME,Metals
LODHA,Realty
LT,Infrastructure
LTF,Financial Services
LTFOODS,FMCG
LTIM,IT
LTM,IT
LTTS,IT
LUPIN,Pharma
M&M,Automobile
M&MFIN,Financial Services
MAHABANK,Financial Services
MANAPPURAM,Financial Services
MANKIND,Pharma
MAPMYINDIA,IT
MARICO,FMCG
MARUTI,Automobile
MAXHEALTH,Pharma
MAZDOCK,Infrastructure
MCX,Financial Services
MEDANTA,Pharma
MEESHO,Services
MFSL,Financial Services
MGL,Energy
MINDACORP,Automobile
MMTC,Services
MOTHERSON,Automobile
MOTILALOFS,Financial Services
MPHASIS,IT
MRF,Automobile
MRPL,Energy
MSUMI,Automobile
MUTHOOTFIN,Financial Services
NAM-INDIA,Financial Services
NATCOPHARM,Pharma
NATIONALUM,Metals
NAUKRI,Services
NAVA,Utilities
NAVINFLUOR,Chemicals
NBCC,Infrastructure
NCC,Infrastructure
NESTLEIND,FMCG
NETWEB,IT
NEULANDLAB,Pharma
NEWGEN,IT
NH,Pharma
NHPC,Utilities
NIACL,Financial Services
NIVABUPA,Financial Services
NLCINDIA,Utilities
NMDC,Metals
NSLNISP,Metals
NTPC,Utilities
NTPCGREEN,Utilities
NUVAMA,Financial Services
NUVOCO,Infrastructure
NYKAA,Services
OBEROIRLTY,Realty
OFSS,IT
OIL,Energy
OLAELEC,Automobile
OLECTRA,Automobile
ONESOURCE,Pharma
ONGC,Energy
PAGEIND,Consumer
PARADEEP,Chemicals
PATANJALI,FMCG
PAYTM,Financial Services
PCBL,Chemicals
PERSISTENT,IT
PETRONET,Energy
PFC,Financial Services
PFIZER,Pharma
PFOCUS,Media
PGEL,Consumer
PHOENIXLTD,Realty
PIDILITIND,Chemicals
PIIND,Chemicals
PINELABS,Financial Services
PIRAMALFIN,Financial Services
PNB,Banking
PNBHOUSING,Financial Services
POLICYBZR,Financial Services
POLYCAB,Infrastructure
POLYMED,Pharma
POONAWALLA,Financial Services
POWERGRID,Utilities
POWERINDIA,Infrastructure
PPLPHARMA,Pharma
PREMIERENE,Infrastructure
PRESTIGE,Realty
PTCIL,Infrastructure
PVRINOX,Media
PWL,Services
RADICO,FMCG
RAILTEL,Telecom
RAINBOW,Pharma
RAMCOCEM,Infrastructure
RBLBANK,Financial Services
RECLTD,Financial Services
REDINGTON,Services
RELIANCE,Energy
RHIM,Infrastructure
RITES,Infrastructure
RKFORGE,Automobile
RPOWER,Utilities
RRKABEL,Infrastructure
RVNL,Infrastructure
SAGILITY,IT
SAIL,Metals
SAILIFE,Pharma
SAMMAANCAP,Financial Services
SAPPHIRE,Services
SARDAEN,Metals
SAREGAMA,Media
SBFC,Financial Services
SBICARD,Financial Services
SBILIFE,Financial Services
SBIN,Banking
SCHAEFFLER,Automobile
SCHNEIDER,Infrastructure
SCI,Services
SHREECEM,Infrastructure
SHRIRAMFIN,Financial Services
SHYAMMETL,Infrastructure
SIEMENS,Infrastructure
SIGNATURE,Realty
SJVN,Utilities
SOBHA,Realty
SOLARINDS,Chemicals
SONACOMS,Automobile
SONATSOFTW,IT
SPLPETRO,Chemicals
SRF,Chemicals
STARHEALTH,Financial Services
SUMICHEM,Chemicals
SUNDARMFIN,Financial Services
SUNPHARMA,Pharma
SUNTV,Media
SUPREMEIND,Infrastructure
SUZLON,Infrastructure
SWANCORP,Chemicals
SWIGGY,Services
SYNGENE,Pharma
SYRMA,Infrastructure
TARIL,Infrastructure
TATACAP,Financial Services
TATACHEM,Chemicals
TATACOMM,Telecom
TATACONSUM,FMCG
TATAELXSI,IT
TATAINVEST,Financial Services
TATAMOTORS,Automobile
TATAPOWER,Utilities
TATASTEEL,Metals
TATATECH,IT
TBOTEK,Services
TCS,IT
TECHM,IT
TECHNOE,Infrastructure
TEGA,Infrastructure
TEJASNET,Telecom
TENNIND,Automobile
THELEELA,Services
THERMAX,Infrastructure
TIINDIA,Automobile
TIMKEN,Infrastructure
TITAGARH,Infrastructure
TITAN,Consumer
TMCV,Infrastructure
TMPV,Automobile
TORNTPHARM,Pharma
TORNTPOWER,Utilities
TRAVELFOOD,Services
TRENT,Retail
TRIDENT,Consumer
TRITURBINE,Infrastructure
TTML,Telecom
TVSMOTOR,Automobile
UBL,FMCG
UCOBANK,Financial Services
ULTRACEMCO,Infrastructure
UNIONBANK,Financial Services
UNITDSPR,FMCG
UNOMINDA,Automobile
UPL,Chemicals
URBANCO,Services
USHAMART,Infrastructure
UTIAMC,Financial Services
VBL,FMCG
VEDL,Metals
VIJAYA,Pharma
VMM,Services
VOLTAS,Consumer
VTL,Consumer
WAAREEENER,Infrastructure
WELCORP,Infrastructure
WELSPUNLIV,Consumer
WHIRLPOOL,Consumer
WIPRO,IT
WOCKPHARMA,Pharma
YESBANK,Financial Services
ZEEL,Media
ZENSARTECH,IT
ZENTEC,Infrastructure
ZFCVINDIA,Automobile
ZYDUSLIFE,Pharma
ZYDUSWELL,FMCG
